Name,Slug,Display Order,Team / Department,Video URL
Aidan,aidan,1,Co-Founder & CEO,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Aidan%20Dewar_Testimonial.mp4
Sam,sam,2,Co-Founder & President,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Sam%20Perkins_Testimonial.mp4
Steph,steph,3,Co-Founder & CTO,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Steph%20Liu_Testimonial.mp4
John,john,4,CFO,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/John%20McGrath_Testimonial.mp4
Marina,marina,5,Business Operations,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Marina%20Kemper_Testimonial.mp4
Ajay,ajay,6,CMO,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Ajay%20Haryani_Testimonial.mp4
Tommy,tommy,7,Clinical Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Tommy%20Kelley_Testimonial.mp4
Sofia,sofia,8,Clinical Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Sofia%20Carvalho_Testimonial.mp4
Dana,dana,9,Clinical Quality,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Dana%20Levy_Testimonial.mp4
Natalie,natalie,10,Corporate Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Natalie%20Ullman_Testimonial.mp4
Lia,lia,11,Growth Marketing,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Lia%20Lankford_Testimonial.mp4
Sadie,sadie,12,Revenue & Provider Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Sadie%20Bronk_Testimonial.mp4
Dan,dan,13,Customer Experience,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Dan%20Wilcox_Testimonial.mp4
Ryan,ryan,14,Finance,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Ryan%20Barker_Testimonial.mp4
Ana,ana,15,Talent,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Ana%20Major_Testimonial.mp4
Jenna,jenna,16,Talent,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Jenna%20Rhodes_Testimonial.mp4
Katie,katie,17,Commercial Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Katie%20Gleason_Testimonial.mp4
Candy,candy,18,Growth Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Candy%20Janachowski_Testimonial.mp4
Nick,nick,19,Growth Strategy,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Nick%20G_Testimonial.mp4
Ethan,ethan,20,GTM,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Ethan%20Fischer_Testimonial.mp4
Kylie,kylie,21,Provider Partnerships,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Kylie%20Gearhart_Testimonial.mp4
Paul,paul,22,Product,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Paul%20Yu_Testimonial.mp4
Shreyas,shreyas,23,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Shreyas%20Sood_Testimonial.mp4
Nikita,nikita,24,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Nikita%20Ashok_Testimonial.mp4
Taylor,taylor,25,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Taylor%20Albus_Testimonial.mp4
Rishab,rishab,26,Analytics,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Rishab%20Prashanth_Testimonial.mp4
Mike,mike,27,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Mike%20Abelar_Testimonial.mp4
Matt,matt,28,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Matt%20Kaufman_Testimonial.mp4
Alex,alex,29,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Alex%20Michaud_Testimonial.mp4
Anna,anna,30,Engineering,https://d3f4micfw8j9t2.cloudfront.net/media/testimonials/Anna%20Cunningham_Testimonial.mp4
